OUT-OF-POSITION PLAYERS
================================================================================

Total players: 194

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster   PC1   PC2 position expected_position
            John Collins   13.49               1.60               3.66     1.03    0.88    0.75       1.38       27.02                  0.54                     0.37        0  1.00  0.78  Forward             Guard
      Kristaps Porzingis   16.81               1.23               3.90     2.58    0.58    1.23       1.32       23.82                  0.43                     0.31        0  0.97  0.74  Forward             Guard
            Myles Turner   11.92               1.06               4.27     1.45    0.70    1.62       1.17       26.73                  0.42                     0.37        0  0.88  1.08  Forward             Guard
            Trevon Scott    8.00               1.80               3.80     1.80    1.40    1.00       0.40       31.06                  0.43                     0.38        0  0.85  0.70  Forward             Guard
            Aaron Gordon   16.17               1.42               4.39     2.67    0.58    0.28       1.06       27.70                  0.45                     0.34        0  0.80 -0.10  Forward             Guard
              Tari Eason   10.29               2.07               4.17     1.47    1.22    0.47       1.34       25.65                  0.41                     0.35        0  0.76  0.37  Forward             Guard
           Jarace Walker   11.63               0.64               4.50     2.53    0.83    0.34       1.83       25.52                  0.42                     0.38        0  0.76 -0.87  Forward             Guard
              Kyle Kuzma   12.99               0.83               3.71     2.67    0.67    0.41       1.72       25.96                  0.49                     0.31        0  0.75 -0.23  Forward             Guard
           Tobias Harris   13.10               0.87               4.27     2.52    0.89    0.42       1.02       27.59                  0.47                     0.34        0  0.73 -0.28  Forward             Guard
           Royce O'Neale    9.81               0.76               4.01     2.67    1.08    0.41       1.32       28.17                  0.42                     0.40        0  0.71 -0.88  Forward             Guard
          Daniel Gafford    9.53               2.51               4.36     1.05    0.76    1.25       1.15       21.53                  0.60                     0.00        2  0.65  3.90  Forward            Center
              Ace Bailey   13.77               1.44               2.77     1.83    0.85    0.68       1.46       27.40                  0.44                     0.31        0  0.63  0.16  Forward             Guard
       Mitchell Robinson    5.67               4.20               4.55     0.87    0.93    1.17       0.68       19.39                  0.65                     0.00        2  0.60  5.28  Forward            Center
           Herbert Jones    8.86               0.84               2.55     2.77    1.57    0.48       1.30       28.18                  0.38                     0.30        0  0.57 -0.92  Forward             Guard
        Jonathan Kuminga   12.17               1.36               4.25     2.31    0.61    0.31       1.86       22.88                  0.44                     0.27        0  0.49  0.16  Forward             Guard
             Leaky Black    7.57               1.07               4.21     1.50    1.21    0.57       1.00       30.07                  0.41                     0.34        0  0.48 -0.06  Forward             Guard
            Bobby Portis   13.66               1.33               5.06     1.57    0.61    0.18       0.99       23.99                  0.49                     0.44        0  0.44 -0.12  Forward             Guard
        Precious Achiuwa    9.85               2.40               4.28     1.35    0.90    0.68       0.88       23.55                  0.50                     0.21        2  0.41  1.96  Forward            Center
           Jalen Slawson    7.75               0.58               4.00     2.67    1.25    1.08       1.42       23.40                  0.32                     0.28        0  0.40 -0.18  Forward             Guard
         Cameron Johnson   12.22               0.80               3.02     2.44    0.74    0.39       0.87       30.30                  0.46                     0.41        0  0.36 -0.74  Forward             Guard
    Collin Murray-Boyles    8.61               2.38               2.68     1.86    0.93    0.95       1.05       21.82                  0.58                     0.16        2  0.35  2.40  Forward            Center
     Robert Williams III    6.74               2.38               4.60     1.02    0.57    1.48       0.84       16.80                  0.69                     0.12        2  0.34  4.23  Forward            Center
            Noah Clowney   12.26               0.79               3.35     1.64    0.76    0.68       1.55       26.76                  0.39                     0.31        0  0.30 -0.25  Forward             Guard
       Julian Champagnie   11.16               0.90               4.89     1.56    0.77    0.46       0.84       27.46                  0.43                     0.35        0  0.29 -0.04  Forward             Guard
          Isaiah Stewart    9.91               1.65               3.35     1.16    0.28    1.61       1.14       22.62                  0.55                     0.27        2  0.27  2.50  Forward            Center
            Oso Ighodaro    6.53               1.68               3.41     2.22    0.90    0.68       1.23       21.96                  0.63                     0.00        2  0.26  2.57  Forward            Center
       Derrick Jones Jr.   10.29               1.22               2.22     1.41    0.92    1.02       0.82       26.93                  0.51                     0.33        0  0.22  0.76  Forward             Guard
       Marvin Bagley III   10.45               2.50               3.60     1.42    0.47    0.72       1.02       19.82                  0.61                     0.24        2  0.18  2.39  Forward            Center
            Jake LaRavia    8.30               1.43               2.54     1.75    1.26    0.46       1.07       24.96                  0.47                     0.28        0  0.11  0.23  Forward             Guard
             Jalen Smith   10.21               1.85               4.85     1.23    0.45    0.79       1.00       20.48                  0.48                     0.36        0  0.10  1.37  Forward             Guard
              GG Jackson   12.47               0.89               3.38     1.47    0.56    0.80       1.55       21.23                  0.47                     0.29        0  0.09  0.53  Forward             Guard
   Sandro Mamukelashvili   11.19               1.37               3.59     1.87    0.81    0.52       0.85       21.74                  0.50                     0.34        0  0.08  0.49  Forward             Guard
              Al Horford    8.34               1.00               3.89     2.59    0.68    1.16       0.93       21.43                  0.43                     0.35        0  0.06  0.63  Forward             Guard
            Jock Landale   10.56               2.69               3.00     1.69    0.51    0.53       0.88       21.94                  0.51                     0.37        0 -0.00  1.30   Center             Guard
        Brice Sensabaugh   14.88               0.76               2.34     1.92    0.72    0.16       1.64       23.44                  0.43                     0.32        0 -0.02 -0.93  Forward             Guard
              Gui Santos    9.22               1.06               2.81     2.34    0.91    0.33       1.51       20.37                  0.47                     0.33        0 -0.07 -0.26  Forward             Guard
         Khris Middleton   10.19               0.82               2.89     2.82    0.66    0.15       1.73       22.92                  0.41                     0.32        0 -0.13 -0.93  Forward             Guard
                Jay Huff    9.51               0.89               3.07     1.46    0.49    1.83       0.90       20.72                  0.45                     0.29        0 -0.14  1.73   Center             Guard
         Dominick Barlow    7.69               1.90               2.91     1.21    0.87    0.76       0.79       23.66                  0.54                     0.15        2 -0.16  1.97  Forward            Center
            Jaylen Wells   12.54               0.88               2.30     1.61    0.88    0.13       1.07       26.20                  0.44                     0.35        0 -0.19 -0.84  Forward             Guard
             Luke Kornet    6.53               2.66               3.43     1.85    0.47    0.96       0.41       20.86                  0.61                     0.00        2 -0.35  3.78  Forward            Center
        Tristan da Silva    9.92               0.76               2.89     1.61    0.88    0.33       0.88       24.47                  0.42                     0.34        0 -0.44 -0.50  Forward             Guard
         Duncan Robinson   12.24               0.38               2.29     2.07    0.58    0.29       0.70       27.32                  0.45                     0.41        0 -0.45 -1.06  Forward             Guard
              Danny Wolf    8.91               1.00               3.93     2.23    0.53    0.56       1.28       20.60                  0.37                     0.28        0 -0.45  0.12  Forward             Guard
       Ronald Holland II    8.27               1.08               2.95     1.21    1.19    0.34       1.23       19.69                  0.44                     0.23        0 -0.46  0.18  Forward             Guard
           Rui Hachimura   11.31               0.58               2.64     0.85    0.57    0.31       0.63       28.12                  0.49                     0.42        0 -0.48 -0.54  Forward             Guard
         Ziaire Williams   10.23               0.54               1.86     1.07    1.36    0.38       1.05       22.66                  0.40                     0.33        0 -0.48 -0.92  Forward             Guard
            Tyler Burton   10.75               0.67               3.50     1.00    0.92    0.33       0.92       25.37                  0.35                     0.32        0 -0.48 -0.62  Forward             Guard
      Zaccharie Risacher    9.55               1.05               2.71     1.11    0.88    0.55       0.83       22.23                  0.46                     0.32        0 -0.50  0.22  Forward             Guard
         Jaylin Williams    7.22               0.49               5.02     2.43    0.48    0.65       1.03       19.44                  0.38                     0.34        0 -0.51 -0.03  Forward             Guard
            Zach Collins    9.70               1.60               4.00     1.50    0.20    0.40       1.00       18.10                  0.54                     0.31        0 -0.54  1.19  Forward             Guard
            Micah Potter    9.63               1.22               3.61     1.46    0.43    0.33       0.93       18.78                  0.51                     0.39        0 -0.60  0.31   Center             Guard
          Isaiah Jackson    6.73               2.05               3.22     0.95    0.65    0.89       1.05       16.30                  0.56                     0.00        2 -0.64  3.12  Forward            Center
          Taurean Prince    9.00               0.16               2.88     1.76    0.60    0.24       1.16       22.94                  0.43                     0.44        0 -0.68 -1.25  Forward             Guard
               Paul Reed    7.47               2.00               2.50     1.20    0.84    0.89       0.91       13.55                  0.57                     0.13        2 -0.68  2.48  Forward            Center
              Toby Okani   10.80               1.60               1.20     1.00    0.60    0.20       0.60       34.98                  0.35                     0.32        0 -0.69 -0.49  Forward             Guard
             Brook Lopez    8.47               0.59               2.99     1.31    0.59    1.18       0.81       21.60                  0.39                     0.33        0 -0.69  0.45   Center             Guard
              Obi Toppin   11.22               0.57               3.96     2.30    0.52    0.04       1.13       17.40                  0.46                     0.25        0 -0.69 -0.27  Forward             Guard
           Cody Williams    8.70               0.91               2.05     1.98    0.74    0.39       1.09       23.93                  0.44                     0.16        0 -0.71  0.26  Forward             Guard
         Harrison Barnes    9.93               0.83               1.97     1.93    0.64    0.16       0.80       25.59                  0.45                     0.36        0 -0.71 -0.75  Forward             Guard
              Will Riley   10.38               0.77               2.07     1.95    0.74    0.14       1.26       21.69                  0.43                     0.23        0 -0.75 -0.43  Forward             Guard
           Jamir Watkins    7.02               1.00               2.88     1.31    1.10    0.49       0.80       20.16                  0.42                     0.24        0 -0.78  0.28  Forward             Guard
            Goga Bitadze    5.87               2.13               2.84     1.32    0.59    0.97       0.67       14.99                  0.63                     0.02        2 -0.79  3.45  Forward            Center
            Jaxson Hayes    7.53               1.50               2.61     0.89    0.44    0.79       0.47       18.08                  0.71                     0.05        2 -0.84  3.12  Forward            Center
          Oscar Tshiebwe    7.00               2.62               3.62     1.12    0.62    0.19       0.69       15.81                  0.60                     0.00        2 -0.87  3.02  Forward            Center
 Olivier-Maxence Prosper   10.00               1.11               2.42     0.96    0.75    0.25       0.89       18.36                  0.50                     0.34        0 -0.88  0.06  Forward             Guard
        Taylor Hendricks    7.42               1.10               2.64     0.93    0.85    0.51       0.85       18.76                  0.45                     0.32        0 -0.94  0.31  Forward             Guard
               Ryan Dunn    5.61               1.42               2.72     1.41    0.87    0.41       0.80       19.07                  0.45                     0.32        0 -0.94  0.36  Forward             Guard
             Kris Murray    5.75               1.57               2.04     1.39    0.86    0.39       0.84       23.08                  0.42                     0.24        0 -0.97  0.49  Forward             Guard
              Sam Hauser    9.22               0.72               3.13     1.46    0.49    0.29       0.45       24.62                  0.39                     0.36        0 -1.05 -0.49  Forward             Guard
             Josh Minott    7.43               0.98               2.24     0.94    0.90    0.49       0.88       16.83                  0.46                     0.36        0 -1.08  0.04  Forward             Guard
          Grant Williams    6.97               1.26               2.63     1.54    0.49    0.49       0.89       19.52                  0.40                     0.38        0 -1.13  0.01  Forward             Guard
               Dean Wade    5.80               0.90               3.29     1.49    0.75    0.39       0.27       22.12                  0.42                     0.35        0 -1.14 -0.01  Forward             Guard
              Kevin Love    6.70               1.49               4.32     1.81    0.38    0.24       0.81       16.37                  0.38                     0.37        1 -1.14  0.19  Forward             Guard
          Karlo Matkovic    5.68               1.16               2.53     0.81    0.40    0.87       0.55       14.51                  0.62                     0.34        0 -1.22  1.60  Forward             Guard
               Adem Bona    4.86               1.81               2.54     0.46    0.43    1.17       0.80       17.16                  0.54                     0.03        2 -1.22  3.21  Forward            Center
       Jarred Vanderbilt    4.44               1.25               3.25     1.28    0.83    0.28       0.86       17.18                  0.44                     0.23        1 -1.23  0.61  Forward             Guard
        Tristan Vukcevic    9.00               0.65               2.35     1.12    0.47    0.65       1.27       13.51                  0.48                     0.28        1 -1.24  0.45  Forward             Guard
           Ousmane Dieng    7.50               0.52               2.57     2.29    0.43    0.30       1.23       18.70                  0.38                     0.30        1 -1.24 -0.60  Forward             Guard
        Mouhamadou Gueye    5.00               0.00               3.00     2.00    0.00    0.00       1.00       16.45                  0.67                     0.50        0 -1.29 -0.52  Forward             Guard
              Luka Garza    7.79               2.24               1.72     0.96    0.38    0.41       0.65       15.70                  0.55                     0.34        1 -1.31  1.34   Center             Guard
        Patrick Williams    6.93               0.69               2.28     1.41    0.65    0.35       1.03       20.06                  0.37                     0.34        1 -1.32 -0.60  Forward             Guard
            Quinten Post    7.66               1.01               3.00     1.40    0.39    0.52       0.84       17.10                  0.40                     0.31        1 -1.37  0.27   Center             Guard
            Blake Hinson   12.08               0.62               1.46     1.08    0.31    0.15       0.38       19.81                  0.52                     0.52        0 -1.37 -0.91  Forward             Guard
            Nikola Jovic    7.32               0.53               2.72     2.17    0.55    0.36       1.38       16.99                  0.32                     0.19        1 -1.40 -0.35  Forward             Guard
           Spencer Jones    5.50               1.17               2.09     0.80    0.81    0.45       0.48       21.92                  0.41                     0.27        1 -1.41  0.36  Forward             Guard
            Cam Whitmore    9.19               0.90               1.86     0.71    0.71    0.38       0.86       16.71                  0.41                     0.30        1 -1.50 -0.07  Forward             Guard
          Charles Bassey    5.00               1.75               2.75     0.42    0.33    0.92       0.42       11.00                  0.66                     0.00        2 -1.66  3.71  Forward            Center
            Anthony Gill    5.69               1.06               1.76     1.28    0.56    0.39       0.65       16.86                  0.50                     0.14        1 -1.73  1.09  Forward             Guard
          Leonard Miller    7.64               1.16               2.71     0.84    0.38    0.31       0.73       14.98                  0.46                     0.22        1 -1.73  0.80  Forward             Guard
        MarJon Beauchamp    7.08               0.46               1.92     1.15    0.69    0.31       1.00       14.72                  0.40                     0.32        1 -1.74 -0.53  Forward             Guard
          Tidjane Salaun    6.17               0.72               3.42     0.75    0.44    0.19       0.69       15.66                  0.43                     0.35        1 -1.74 -0.06  Forward             Guard
       Simone Fontecchio    8.53               0.80               2.21     1.44    0.53    0.13       0.70       16.54                  0.37                     0.34        1 -1.76 -0.63  Forward             Guard
           Corey Kispert    8.96               0.46               1.81     1.58    0.28    0.16       0.75       18.23                  0.43                     0.33        1 -1.77 -0.61  Forward             Guard
           Tyrese Martin    6.44               0.76               1.82     1.73    0.56    0.13       0.89       17.02                  0.38                     0.26        1 -1.85 -0.41  Forward             Guard
          Mouhamed Gueye    4.44               1.16               2.42     0.90    0.79    0.51       0.43       15.12                  0.38                     0.19        1 -1.97  0.80  Forward             Guard
            Kevon Looney    2.81               2.29               3.33     1.62    0.43    0.48       0.43       14.40                  0.37                     0.05        1 -1.99  2.16  Forward             Guard
         Nae'Qwan Tomlin    5.52               1.27               1.56     0.76    0.65    0.54       0.44       15.13                  0.42                     0.15        1 -2.10  1.13  Forward             Guard
              Kobe Brown    5.55               1.10               1.87     1.30    0.35    0.20       0.85       15.25                  0.40                     0.26        1 -2.10  0.13  Forward             Guard
            Drew Eubanks    5.21               0.93               2.10     0.45    0.36    0.62       0.71       12.91                  0.52                     0.02        1 -2.15  2.06  Forward             Guard
           Thomas Bryant    6.17               0.98               2.43     0.55    0.30    0.45       0.47       12.02                  0.47                     0.29        1 -2.20  0.78  Forward             Guard
              Pete Nance    5.40               0.57               2.09     1.02    0.30    0.30       0.55       15.50                  0.43                     0.35        1 -2.21 -0.17  Forward             Guard
  Jeremiah Robinson-Earl    4.59               1.64               3.05     0.68    0.41    0.05       0.55       16.22                  0.33                     0.22        1 -2.25  0.53  Forward             Guard
      Guerschon Yabusele    5.57               0.84               2.66     0.94    0.39    0.24       0.61       14.83                  0.34                     0.29        1 -2.27 -0.12  Forward             Guard
           Dwight Powell    3.27               1.52               2.44     1.06    0.53    0.34       0.66       14.01                  0.38                     0.02        1 -2.31  1.57  Forward             Guard
          Justin Edwards    5.86               0.41               1.06     1.24    0.79    0.17       0.56       14.98                  0.37                     0.24        1 -2.38 -0.60  Forward             Guard
           Moritz Wagner    6.86               0.75               2.44     0.75    0.42    0.06       0.53       11.67                  0.44                     0.24        1 -2.39  0.21  Forward             Guard
            Caleb Martin    3.91               0.48               1.98     1.40    0.69    0.26       0.69       14.57                  0.32                     0.17        1 -2.42 -0.18  Forward             Guard
       Haywood Highsmith    5.50               1.00               1.17     1.17    0.67    0.00       0.00       13.17                  0.43                     0.49        1 -2.46 -0.92  Forward             Guard
           James Wiseman    3.25               1.25               0.75     0.75    0.00    0.25       1.25       14.37                  0.57                     0.00        1 -2.46  1.95   Center             Guard
            Jalen Wilson    6.30               0.26               1.74     0.89    0.40    0.04       0.68       15.51                  0.38                     0.32        1 -2.47 -0.86  Forward             Guard
            E.J. Liddell    5.20               0.52               2.08     0.92    0.20    0.40       0.56       12.68                  0.44                     0.27        1 -2.49  0.34  Forward             Guard
         Larry Nance Jr.    3.56               0.82               1.74     0.91    0.62    0.15       0.59       12.43                  0.38                     0.34        1 -2.51 -0.38  Forward             Guard
                 PJ Hall    4.53               1.74               2.21     0.53    0.16    0.53       0.84       11.03                  0.35                     0.13        1 -2.60  1.50   Center             Guard
         Branden Carlson    5.27               0.68               2.10     0.68    0.15    0.54       0.37       10.66                  0.47                     0.24        1 -2.62  0.94   Center             Guard
        Christian Koloko    2.65               1.08               1.73     0.65    0.54    0.85       0.50       12.73                  0.35                     0.04        1 -2.65  1.65   Center             Guard
             Cody Martin    1.75               0.25               3.25     0.50    1.00    0.50       1.00       13.58                  0.13                     0.00        1 -2.69  0.06  Forward             Guard
             Dalen Terry    3.70               0.53               1.26     1.40    0.62    0.32       0.55       11.43                  0.36                     0.25        1 -2.70 -0.23  Forward             Guard
Yanic Konan Niederhauser    4.29               0.90               1.95     0.29    0.12    0.73       0.56       10.13                  0.50                     0.01        1 -2.72  2.32   Center             Guard
     Dorian Finney-Smith    3.17               0.92               1.61     0.97    0.42    0.17       0.61       16.48                  0.29                     0.25        1 -2.75 -0.32  Forward             Guard
              Zeke Nnaji    3.61               0.65               1.98     0.53    0.33    0.47       0.53       11.67                  0.40                     0.11        1 -2.83  1.01  Forward             Guard
     Patrick Baldwin Jr.    3.67               1.33               1.22     0.56    0.33    0.56       0.56       11.19                  0.31                     0.37        1 -2.85  0.07  Forward             Guard
              Jamal Cain    5.46               0.69               1.26     0.74    0.28    0.10       0.49       11.87                  0.41                     0.32        1 -2.85 -0.27  Forward             Guard
              Asa Newell    4.88               0.93               1.05     0.56    0.37    0.33       0.49       10.51                  0.41                     0.28        1 -2.86  0.24  Forward             Guard
         Skal Labissiere    4.33               1.00               2.00     1.00    0.67    0.33       0.33       12.31                  0.25                     0.11        1 -2.89  0.33  Forward             Guard
                Mo Bamba    2.50               2.50               3.00     0.25    0.00    0.75       0.50       10.77                  0.29                     0.00        1 -2.91  2.85   Center             Guard
            Tony Bradley    4.05               1.46               1.38     0.51    0.15    0.18       0.46       10.79                  0.50                     0.05        1 -2.92  1.83  Forward             Guard
           Liam McNeeley    4.40               0.43               1.97     0.77    0.17    0.10       0.43       11.93                  0.38                     0.35        1 -2.99 -0.52  Forward             Guard
           Jabari Walker    4.27               1.13               1.89     0.54    0.37    0.21       0.43       11.78                  0.32                     0.18        1 -3.01  0.45  Forward             Guard
          Doug McDermott    5.61               0.25               0.96     0.79    0.18    0.14       0.46       14.56                  0.35                     0.34        1 -3.04 -0.88  Forward             Guard
            Malevy Leons    3.12               1.21               0.92     0.88    0.58    0.38       0.54       10.59                  0.31                     0.15        1 -3.05  0.51  Forward             Guard
           Jeremy Sochan    3.40               0.79               1.56     0.81    0.40    0.16       0.49       10.23                  0.41                     0.11        1 -3.06  0.70  Forward             Guard
         Rasheer Fleming    4.11               1.06               1.13     0.26    0.37    0.37       0.50       11.56                  0.33                     0.26        1 -3.08  0.22  Forward             Guard
           Carter Bryant    4.07               0.51               1.96     0.60    0.23    0.29       0.46       11.08                  0.34                     0.25        1 -3.11  0.01  Forward             Guard
          Omer Yurtseven    3.78               1.44               1.89     0.89    0.22    0.11       1.00       11.33                  0.20                     0.00        1 -3.28  0.66   Center             Guard
           Dalton Knecht    3.98               0.26               1.11     0.32    0.19    0.21       0.43       10.00                  0.39                     0.27        1 -3.41 -0.15  Forward             Guard
           Chris Boucher    2.33               0.22               1.78     0.33    0.56    0.78       0.11       10.28                  0.24                     0.09        1 -3.51  0.58  Forward             Guard
             Tyler Smith    3.27               1.00               1.36     0.45    0.36    0.00       0.27       11.41                  0.28                     0.18        1 -3.57 -0.03  Forward             Guard
             Maxi Kleber    2.00               0.76               1.10     0.64    0.43    0.24       0.36       10.43                  0.28                     0.11        1 -3.62  0.31  Forward             Guard
         Payton Sandfort    4.00               0.00               2.00     0.00    0.00    0.00       0.33       11.58                  0.24                     0.25        1 -3.95 -0.82  Forward             Guard
           Drew Peterson    0.83               0.50               1.00     0.33    0.50    0.17       0.00       10.56                  0.06                     0.00        1 -4.68 -0.28  Forward             Guard
