CLUSTER 3: PRIMARY_SHOT_CREATOR
================================================================================

Total players: 79

              playerName  points  reboundsOffensive  reboundsDefensive  assists  steals  blocks  turnovers  numMinutes  fieldGoalsPercentage  threePointersPercentage  cluster  PC1   PC2 position expected_position
           Dyson Daniels   11.86               2.42               4.42     5.91    1.96    0.41       1.78       32.97                  0.51                     0.13        3 3.13  0.58    Guard             Guard
       Russell Westbrook   15.17               1.25               4.19     6.66    1.30    0.19       3.27       28.75                  0.42                     0.32        3 3.03 -1.70    Guard             Guard
      Michael Porter Jr.   24.21               1.33               5.73     3.04    1.06    0.25       2.35       32.28                  0.46                     0.36        3 3.01 -0.80  Forward             Guard
         Trey Murphy III   21.52               0.95               4.76     3.79    1.50    0.36       1.82       35.25                  0.47                     0.37        3 3.01 -1.22  Forward             Guard
           Stephen Curry   26.62               0.40               3.12     4.76    1.14    0.38       2.81       30.78                  0.45                     0.37        3 3.01 -2.15    Guard             Guard
               Ja Morant   19.45               0.40               2.85     8.05    1.00    0.30       3.55       28.20                  0.43                     0.20        3 2.98 -2.07    Guard             Guard
             LaMelo Ball   20.08               0.89               3.90     7.15    1.20    0.23       2.77       27.81                  0.41                     0.35        3 2.94 -2.15    Guard             Guard
           Jalen Brunson   26.04               0.42               2.92     6.80    0.77    0.11       2.36       34.78                  0.47                     0.35        3 2.94 -2.43    Guard             Guard
          Brandon Ingram   21.45               0.82               4.72     3.71    0.76    0.71       2.45       33.65                  0.48                     0.36        3 2.82 -0.69  Forward             Guard
         Lauri Markkanen   26.74               2.00               4.88     2.12    1.00    0.50       1.50       34.13                  0.48                     0.37        3 2.77  0.03  Forward             Guard
             Jalen Suggs   13.62               0.64               3.18     5.52    1.86    0.70       2.64       27.22                  0.45                     0.35        3 2.70 -1.53    Guard             Guard
        Jimmy Butler III   20.00               2.32               3.24     4.87    1.45    0.21       1.58       30.86                  0.52                     0.31        3 2.66 -0.30  Forward             Guard
       Jaren Jackson Jr.   19.40               0.88               4.79     1.96    1.10    1.44       2.23       30.12                  0.48                     0.34        3 2.64  0.50  Forward             Guard
            VJ Edgecombe   16.08               1.64               3.99     4.11    1.43    0.53       1.84       34.82                  0.44                     0.35        3 2.60 -0.63    Guard             Guard
          Onyeka Okongwu   15.18               1.89               5.70     3.12    1.11    1.07       1.72       30.82                  0.48                     0.34        3 2.60  0.87  Forward             Guard
            De'Aaron Fox   18.48               0.59               3.13     6.20    1.25    0.25       2.31       30.77                  0.49                     0.32        3 2.59 -1.79    Guard             Guard
           Derrick White   16.45               1.12               3.29     5.38    1.14    1.27       1.74       33.91                  0.40                     0.31        3 2.51 -0.37    Guard             Guard
          Brandon Miller   20.19               1.08               3.86     3.36    1.02    0.67       2.50       30.13                  0.44                     0.38        3 2.44 -0.88  Forward             Guard
          Darius Garland   18.86               0.41               2.00     6.70    0.98    0.18       2.93       29.77                  0.46                     0.39        3 2.43 -2.61    Guard             Guard
             Paul George   17.50               0.56               4.75     3.64    1.72    0.44       1.75       30.80                  0.42                     0.37        3 2.41 -1.43  Forward             Guard
          Shaedon Sharpe   21.08               1.02               3.39     2.61    1.39    0.12       2.98       29.48                  0.45                     0.32        3 2.41 -1.46    Guard             Guard
               Josh Hart   12.00               1.41               5.95     4.80    1.14    0.26       1.94       30.00                  0.49                     0.37        3 2.41 -0.53    Guard             Guard
            Jrue Holiday   16.19               1.29               3.29     6.13    1.04    0.10       2.73       29.16                  0.45                     0.36        3 2.40 -1.68    Guard             Guard
            Desmond Bane   20.23               1.19               2.96     4.16    1.05    0.44       2.02       33.61                  0.48                     0.37        3 2.38 -1.08    Guard             Guard
              OG Anunoby   16.69               1.27               3.97     2.16    1.55    0.72       1.84       32.99                  0.47                     0.37        3 2.36 -0.37    Guard             Guard
Nickeil Alexander-Walker   20.82               0.67               2.77     3.67    1.31    0.54       2.08       33.19                  0.45                     0.39        3 2.36 -1.56    Guard             Guard
          Kyshawn George   14.79               0.90               4.21     4.46    1.00    0.90       2.60       28.79                  0.44                     0.35        3 2.35 -0.63  Forward             Guard
         Andrew Nembhard   16.95               0.44               2.37     7.67    0.89    0.14       2.40       31.13                  0.43                     0.37        3 2.21 -2.59    Guard             Guard
          Jalen Williams   17.06               0.82               3.79     5.48    1.18    0.27       1.91       28.18                  0.49                     0.29        3 2.11 -1.13    Guard             Guard
        Kennedy Chandler   15.00               0.55               2.82     6.73    1.00    0.18       2.09       32.07                  0.44                     0.39        3 2.05 -2.25    Guard             Guard
             Tyler Herro   21.00               0.44               4.19     4.00    0.69    0.38       1.91       31.41                  0.49                     0.37        3 2.04 -1.23    Guard             Guard
       Immanuel Quickley   16.61               0.55               3.51     5.94    1.30    0.07       1.46       31.88                  0.44                     0.37        3 1.99 -2.08    Guard             Guard
            Franz Wagner   20.58               1.27               3.97     3.39    0.94    0.33       1.73       29.88                  0.49                     0.33        3 1.97 -0.55  Forward             Guard
              Trae Young   17.93               0.27               1.73     8.00    0.87    0.13       2.60       25.46                  0.48                     0.30        3 1.95 -2.39    Guard             Guard
           Anthony Black   15.02               0.73               3.10     3.73    1.43    0.70       2.06       29.84                  0.43                     0.29        3 1.88 -0.85    Guard             Guard
            Kon Knueppel   18.55               1.20               4.12     3.36    0.69    0.22       1.99       31.29                  0.48                     0.42        3 1.87 -1.00    Guard             Guard
          Draymond Green    8.38               0.81               4.71     5.53    0.90    0.62       2.66       27.28                  0.42                     0.30        3 1.85 -0.76  Forward             Guard
              RJ Barrett   19.14               0.96               4.34     3.34    0.75    0.34       1.75       30.10                  0.49                     0.34        3 1.78 -0.60    Guard             Guard
          Isaiah Collier   11.66               0.36               2.19     7.17    1.12    0.34       2.51       25.53                  0.50                     0.24        3 1.73 -1.51    Guard             Guard
        Jaime Jaquez Jr.   15.22               1.28               3.77     4.69    0.69    0.28       2.05       28.11                  0.50                     0.26        3 1.65 -0.31    Guard             Guard
           Norman Powell   21.68               0.37               3.16     2.47    1.11    0.25       1.95       29.51                  0.47                     0.36        3 1.63 -1.52    Guard             Guard
       Scotty Pippen Jr.   11.40               0.80               1.40     4.70    1.90    0.40       2.70       20.99                  0.45                     0.34        3 1.57 -1.72    Guard             Guard
               Ty Jerome   19.67               0.73               2.07     5.67    1.07    0.27       1.80       22.32                  0.48                     0.42        3 1.51 -1.94    Guard             Guard
